Geography,Region Name,Region,Savings Options,Instance Price
US,US East (Virginia),us-east-1,compare,0.8048
US,US East (Ohio),us-east-2,compare,0.8048
US,US West (Oregon),us-west-2,compare,0.8048
Europe,Europe (Spain),eu-south-2,compare,0.848
Europe,Europe (Stockholm),eu-north-1,compare,0.8536
Canada,Canada (Central),ca-central-1,compare,0.8936
Asia Pacific,Asia Pacific (Mumbai),ap-south-1,compare,0.9664
Asia Pacific,Asia Pacific (Hyderabad),ap-south-2,compare,0.9664
Middle East,Middle East (UAE),me-central-1,compare,0.9882
Asia Pacific,Asia Pacific (Seoul),ap-northeast-2,compare,0.9896
Europe,Europe (Frankfurt),eu-central-1,compare,1.0064
Asia Pacific,Asia Pacific (Malaysia),ap-southeast-5,compare,1.0138
US,GovCloud (US-East),us-gov-east-1,compare,1.0144
US,GovCloud (US-West),us-gov-west-1,compare,1.0144
Europe,Europe (London),eu-west-2,compare,1.0216
Europe,Europe (Paris),eu-west-3,compare,1.0216
Asia Pacific,Asia Pacific (Sydney),ap-southeast-2,compare,1.0464
Europe,Europe (Zurich),eu-central-2,compare,1.085
Asia Pacific,Asia Pacific (Tokyo),ap-northeast-1,compare,1.1672
South America,South America (São Paulo),sa-east-1,compare,1.368
