Linux Spot Interrupt Frequency,voll_spot_usd_per_mwh_trng_median,instance_type,gpu_model_clean,interrupt_category_order
<5%,1869.8549916341328,g4ad.16xlarge,V520,0
<5%,1012.934716290421,g4ad.2xlarge,V520,0
<5%,1217.401003904071,g4ad.4xlarge,V520,0
<5%,1134.9135527049636,g4ad.8xlarge,V520,0
<5%,440.2048655569781,g4ad.xlarge,V520,0
>20%,1785.149201943095,g4dn.12xlarge,T4,4
>20%,1919.617224880383,g4dn.16xlarge,T4,4
>20%,1967.0668953687823,g4dn.2xlarge,T4,4
>20%,2000.932400932401,g4dn.4xlarge,T4,4
>20%,1850.5681818181813,g4dn.8xlarge,T4,4
>20%,2164.954892435808,g4dn.metal,T4,4
10-15%,1971.717171717172,g4dn.xlarge,T4,2
>20%,2715.233415233415,g5.12xlarge,A10G,4
>20%,3875.4275427542752,g5.16xlarge,A10G,4
>20%,4798.760330578512,g5.24xlarge,A10G,4
15-20%,2512.7622377622383,g5.2xlarge,A10G,3
>20%,4267.716942148761,g5.48xlarge,A10G,4
>20%,3382.742681047765,g5.4xlarge,A10G,4
>20%,4506.351183063511,g5.8xlarge,A10G,4
>20%,2725.023430178069,g5.xlarge,A10G,4
10-15%,2167.9999999999995,g5g.16xlarge,T4G,2
5-10%,2557.394843962008,g5g.2xlarge,T4G,1
5-10%,2240.5594405594406,g5g.4xlarge,T4G,1
5-10%,4070.545454545454,g5g.8xlarge,T4G,1
>20%,2387.9999999999995,g5g.metal,T4G,4
5-10%,1477.0140428677014,g5g.xlarge,T4G,1
5-10%,4750.212404418012,g6.12xlarge,L4,1
10-15%,4402.296157450795,g6.16xlarge,L4,2
>20%,5524.647887323944,g6.24xlarge,L4,4
10-15%,5389.701207883026,g6.2xlarge,L4,2
15-20%,5393.165813060179,g6.48xlarge,L4,3
>20%,5125.893769152197,g6.4xlarge,L4,4
>20%,6343.65835777126,g6.8xlarge,L4,4
>20%,4172.401303875408,g6.xlarge,L4,4
>20%,2716.174734356553,g6e.12xlarge,L40S,4
>20%,3172.953133822699,g6e.16xlarge,L40S,4
>20%,2203.571428571428,g6e.24xlarge,L40S,4
5-10%,2408.2792207792204,g6e.2xlarge,L40S,1
10-15%,2571.7532467532465,g6e.48xlarge,L40S,2
>20%,2865.469824293353,g6e.4xlarge,L40S,4
15-20%,2919.6172248803823,g6e.8xlarge,L40S,3
>20%,2233.5986594051105,g6e.xlarge,L40S,4
>20%,4526.3929618768325,g6f.2xlarge,L4,4
15-20%,4921.187683284457,g6f.4xlarge,L4,3
<5%,3462.7170582226763,g6f.large,L4,0
5-10%,4161.290322580645,g6f.xlarge,L4,1
>20%,1813.024793388429,g7e.12xlarge,GB202,4
>20%,1727.6363636363635,g7e.24xlarge,GB202,4
15-20%,1494.1842263696567,g7e.2xlarge,GB202,3
>20%,1940.3636363636365,g7e.48xlarge,GB202,4
10-15%,1637.4683544303798,g7e.4xlarge,GB202,2
15-20%,1864.186046511628,g7e.8xlarge,GB202,3
>20%,5359.550561797753,gr6.4xlarge,L4,4
10-15%,7291.605571847507,gr6.8xlarge,L4,2
>20%,4812.316715542522,gr6f.4xlarge,L4,4
>20%,587.1753246753246,inf1.24xlarge,Inf1,4
>20%,730.4347826086955,inf1.2xlarge,Inf1,4
>20%,474.6753246753247,inf1.6xlarge,Inf1,4
>20%,442.1052631578947,inf1.xlarge,Inf1,4
>20%,3673.863636363636,inf2.24xlarge,Inf2,4
>20%,5256.611570247934,inf2.48xlarge,Inf2,4
>20%,4456.2695924764885,inf2.8xlarge,Inf2,4
>20%,1259.430122116689,inf2.xlarge,Inf2,4
>20%,1493.900121617513,p3.16xlarge,V100,4
>20%,932.01581027668,p3.2xlarge,V100,4
>20%,1199.2930982061418,p3.8xlarge,V100,4
>20%,2329.261363636364,p3dn.24xlarge,V100,4
15-20%,2745.737831573525,p4d.24xlarge,A100,3
15-20%,3863.378830800927,p4de.24xlarge,A100,3
<5%,4385.581463990555,p5.48xlarge,H100,0
<5%,4668.993506493505,p5.4xlarge,H100,0
<5%,2699.6855115921885,p5en.48xlarge,H200,0
10-15%,3152.5078369905955,p6-b200.48xlarge,B200,2
<5%,2482.758620689656,trn1.2xlarge,Inf1,0
<5%,3253.50052246604,trn1.32xlarge,Inf1,0
<5%,2465.778474399164,trn1n.32xlarge,Inf1,0
