gpu_model_clean,voll_reserved_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
QA100,7957.516339869281,dl2q.24xlarge,Mainstream Modern AI
V520,2233.946830265849,g4ad.16xlarge,Legacy / Older Vintage
V520,1525.279642058165,g4ad.2xlarge,Legacy / Older Vintage
V520,2233.946830265849,g4ad.4xlarge,Legacy / Older Vintage
V520,2233.946830265849,g4ad.8xlarge,Legacy / Older Vintage
V520,1119.718309859155,g4ad.xlarge,Legacy / Older Vintage
T4,4181.509754028838,g4dn.12xlarge,Transitional / Early AI
T4,5345.029239766081,g4dn.16xlarge,Transitional / Early AI
T4,3974.842767295597,g4dn.2xlarge,Transitional / Early AI
T4,4324.786324786324,g4dn.4xlarge,Transitional / Early AI
T4,4760.416666666667,g4dn.8xlarge,Transitional / Early AI
T4,4180.661577608143,g4dn.metal,Transitional / Early AI
T4,3632.373113854595,g4dn.xlarge,Transitional / Early AI
A10G,5365.465465465465,g5.12xlarge,Mainstream Modern AI
A10G,8516.501650165015,g5.16xlarge,Mainstream Modern AI
A10G,6478.156565656566,g5.24xlarge,Mainstream Modern AI
A10G,4894.871794871795,g5.2xlarge,Mainstream Modern AI
A10G,6478.156565656566,g5.48xlarge,Mainstream Modern AI
A10G,5780.225988700565,g5.4xlarge,Mainstream Modern AI
A10G,7042.009132420091,g5.8xlarge,Mainstream Modern AI
A10G,4356.013745704468,g5.xlarge,Mainstream Modern AI
T4G,7683.111111111111,g5g.16xlarge,Mainstream Modern AI
T4G,4647.42951907131,g5g.2xlarge,Mainstream Modern AI
T4G,5944.159544159544,g5g.4xlarge,Mainstream Modern AI
T4G,7683.555555555556,g5g.8xlarge,Mainstream Modern AI
T4G,7683.111111111111,g5g.metal,Mainstream Modern AI
T4G,3824.39024390244,g5g.xlarge,Mainstream Modern AI
L4,7776.739356178609,g6.12xlarge,Mainstream Modern AI
L4,9498.711340206184,g6.16xlarge,Mainstream Modern AI
L4,8500.782472613459,g6.24xlarge,Mainstream Modern AI
L4,7417.249417249417,g6.2xlarge,Mainstream Modern AI
L4,8500.684663536776,g6.48xlarge,Mainstream Modern AI
L4,8065.54307116105,g6.4xlarge,Mainstream Modern AI
L4,8813.17204301075,g6.8xlarge,Mainstream Modern AI
L4,6957.503320053122,g6.xlarge,Mainstream Modern AI
L40S,4769.408369408369,g6e.12xlarge,Mainstream Modern AI
L40S,9883.229813664597,g6e.16xlarge,Mainstream Modern AI
L40S,6277.314814814815,g6e.24xlarge,Mainstream Modern AI
L40S,4203.869047619048,g6e.2xlarge,Mainstream Modern AI
L40S,6277.314814814815,g6e.48xlarge,Mainstream Modern AI
L40S,5301.680672268908,g6e.4xlarge,Mainstream Modern AI
L40S,7150.375939849625,g6e.8xlarge,Mainstream Modern AI
L40S,3601.84331797235,g6e.xlarge,Mainstream Modern AI
L4,9382.022471910112,gr6.4xlarge,Mainstream Modern AI
L4,10702.956989247312,gr6.8xlarge,Mainstream Modern AI
Inf1,1966.931216931217,inf1.24xlarge,Transitional / Early AI
Inf1,2202.898550724638,inf1.2xlarge,Transitional / Early AI
Inf1,1968.253968253968,inf1.6xlarge,Transitional / Early AI
Inf1,1684.2105263157894,inf1.xlarge,Transitional / Early AI
Inf2,5163.005050505051,inf2.24xlarge,Mainstream Modern AI
Inf2,5163.005050505051,inf2.48xlarge,Mainstream Modern AI
Inf2,7125.287356321839,inf2.8xlarge,Mainstream Modern AI
Inf2,4753.233830845771,inf2.xlarge,Mainstream Modern AI
V100,7413.194444444444,p3dn.24xlarge,Transitional / Early AI
A100,4381.838212149826,p4d.24xlarge,Mainstream Modern AI
A100,5477.305634246143,p4de.24xlarge,Mainstream Modern AI
H100,4288.780663780663,p5.48xlarge,Mainstream Modern AI
H100,4422.619047619048,p5.4xlarge,Mainstream Modern AI
Inf1,8447.50957854406,trn1.2xlarge,Transitional / Early AI
Inf1,8447.637292464879,trn1.32xlarge,Transitional / Early AI
Inf1,9736.334610472542,trn1n.32xlarge,Transitional / Early AI
